2026-04-13 21:10:59 | BUY | BNBUSDT | entry=613.710000 | qty=0.347735 | capital=213.41 | strategy=trend | risk_mode=normal | tp=6.38% | sl=-2.00%
2026-04-13 21:14:10 | BUY | TAOUSDT | entry=258.400000 | qty=0.660706 | capital=170.73 | strategy=trend | risk_mode=conservative | tp=6.38% | sl=-2.00%
2026-04-13 21:14:13 | BUY | XRPUSDT | entry=1.368000 | qty=99.840084 | capital=136.58 | strategy=trend | risk_mode=normal | tp=6.38% | sl=-2.00%
2026-04-13 22:15:17 | SELL | TAOUSDT | reason=time_exit | price=256.100000 | qty=0.660706 | pnl=-1.5196 | pnl_net=-1.8596 | profit_pct=-0.89% | time=61.1m
2026-04-13 22:18:14 | BUY | ADAUSDT | entry=0.245400 | qty=584.394037 | capital=143.41 | strategy=trend | risk_mode=normal | tp=6.38% | sl=-2.00%
2026-04-13 22:42:35 | SELL | BNBUSDT | reason=time_exit | price=613.930000 | qty=0.347735 | pnl=0.0765 | pnl_net=-0.3504 | profit_pct=0.04% | time=91.6m
2026-04-13 22:45:49 | SELL | XRPUSDT | reason=time_exit | price=1.367300 | qty=99.840084 | pnl=-0.0699 | pnl_net=-0.3430 | profit_pct=-0.05% | time=91.6m
2026-04-13 22:48:25 | BUY | UNIUSDT | entry=3.205000 | qty=57.636855 | capital=184.73 | strategy=trend | risk_mode=normal | tp=6.38% | sl=-2.00%
2026-04-13 23:10:34 | BUY | BROCCOLI714USDT | entry=0.015940 | qty=9271.072532 | capital=147.78 | strategy=mean_reversion | risk_mode=conservative | tp=4.95% | sl=-2.00%
2026-04-13 23:49:38 | SELL | ADAUSDT | reason=time_exit | price=0.245100 | qty=584.394037 | pnl=-0.1753 | pnl_net=-0.4620 | profit_pct=-0.12% | time=91.4m
2026-04-13 23:52:12 | BUY | DASHUSDT | entry=40.860000 | qty=3.595369 | capital=146.91 | strategy=trend | risk_mode=conservative | tp=6.38% | sl=-2.00%
2026-04-14 00:18:40 | SELL | UNIUSDT | reason=time_exit | price=3.188000 | qty=57.636855 | pnl=-0.9798 | pnl_net=-1.3483 | profit_pct=-0.53% | time=90.2m
2026-04-14 00:25:05 | SELL | BROCCOLI714USDT | reason=time_exit | price=0.015840 | qty=9271.072532 | pnl=-0.9271 | pnl_net=-1.2217 | profit_pct=-0.63% | time=74.5m
2026-04-14 00:27:41 | BUY | WLDUSDT | entry=0.314900 | qty=584.397664 | capital=184.03 | strategy=trend | risk_mode=normal | tp=6.38% | sl=-2.00%
2026-04-14 00:34:01 | BUY | ENAUSDT | entry=0.099000 | qty=1487.085449 | capital=147.22 | strategy=trend | risk_mode=conservative | tp=6.38% | sl=-2.00%
2026-04-14 00:53:52 | SELL | DASHUSDT | reason=time_exit | price=40.490000 | qty=3.595369 | pnl=-1.3303 | pnl_net=-1.6228 | profit_pct=-0.91% | time=61.7m
2026-04-14 00:59:45 | BUY | PAXGUSDT | entry=4751.550000 | qty=0.030971 | capital=147.16 | strategy=mean_reversion | risk_mode=aggressive | tp=4.21% | sl=-2.00%
2026-04-14 01:35:32 | SELL | ENAUSDT | reason=time_exit | price=0.097800 | qty=1487.085449 | pnl=-1.7845 | pnl_net=-2.0772 | profit_pct=-1.21% | time=61.5m
2026-04-14 01:51:54 | BUY | SOLUSDT | entry=85.670000 | qty=1.717884 | capital=147.17 | strategy=mean_reversion | risk_mode=conservative | tp=4.21% | sl=-2.00%
