symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,mfe_pct,mae_pct,dataset_version,result_net
XLMUSDT,34.21052631578961,4.750325907046643,0,-0.0005739999999999,0.0,-1.082381,,,,,,,,,,,,,,,v1,
ALGOUSDT,28.571428571428427,2.2952636019722528,0,-0.000722,0.0,-0.552995,,,,,,,,,,,,,,,v1,
DGBUSDT,21.052631578947427,2.0902887239053296,0,-1.6799999999999975e-05,0.0,0.0,,,,,,,,,,,,,,,v1,
CRVUSDT,32.85714285714265,4.2283664645030505,0,-0.00178,0.0,-0.458576,,,,,,,,,,,,,,,v1,
ICXUSDT,33.333333333332945,1.108651641407895,0,-0.000876,0.0,-0.955616,,,,,,,,,,,,,,,v1,
ONGUSDT,31.93916349809878,3.18174617207343,0,-0.0020289999999999,1.0,0.65014,,,,,,,,,,,,,,,v1,
ONTUSDT,39.31795386158473,0.2411563513135196,1,2.4200000000002e-05,0.0,-3.705897,,,,,,,,,,,,,,,v1,
ALGOUSDT,40.000000000000135,11.759788730080656,0,-0.0005479999999999,0.0,-0.642949,,,,,,,,,,,,,,,v1,
FFUSDT,37.5,1.88691728790518,1,0.0002802,0.0,-0.78806,,,,,,,,,,,,,,,v1,
VETUSDT,38.2352941176468,5.01021617935201,0,-2.791999999999985e-05,1.0,0.524284,,,,,,,,,,,,,,,v1,
FFUSDT,23.391812865497517,1.2909839350324823,0,-6.919999999999149e-05,1.0,2.318511,,,,,,,,,,,,,,,v1,
ESPUSDT,38.46153846153828,1.7185255522654086,0,-0.0015252,0.0,-0.688518,,,,,,,,,,,,,,,v1,
WUSDT,33.33333333333333,2.4002748367751465,0,-1.9999999999999185e-05,0.0,0.0,,,,,,,,,,,,,,,v1,
OPENUSDT,28.125000000000085,3.467944187417496,0,-0.0049479999999999,0.0,-1.345337,,,,,,,,,,,,,,,v1,
USDTTRY,28.57142857143002,0.1817785992802442,1,0.0090000000000003,1.0,0.051767,,,,,,,,,,,,,,,v1,
ROBOUSDT,39.62264150943372,4.350910353230307,0,-0.0001962,1.0,1.035,,,,,,,,,,,,,,,v1,
FUNUSDT,30.86419753086412,1.364187562988308,0,-1.1040000000000138e-05,1.0,1.065772,,,,,,,,,,,,,,,v1,
RIFUSDT,25.531914893617028,4.526765564042544,0,-0.001034,1.0,1.221938,,,,,,,,,,,,,,,v1,
ALGOUSDT,8.333333333333528,2.2467620813032414,0,-0.000826,0.0,-0.433059,,,,,,,,,,,,,,,v1,
PHAUSDT,26.666666666666917,2.20910155509044,0,-0.0006919999999999,0.0,-0.999995,,,,,,,,,,,,,,,v1,
ZAMAUSDT,12.195121951219846,2.3187290248181944,0,-0.0003355999999999,1.0,5.639913,,,,,,,,,,,,,,,v1,
ENJUSDT,33.33333333333317,0.2868463321302423,1,8.599999999997499e-06,0.0,-0.229775,,,,,,,,,,,,,,,v1,
FETUSDT,37.01657458563532,0.0970424530522298,1,0.0039899999999999,0.0,-1.832311,,,,,,,,,,,,,,,v1,
ADAUSDT,67.85714285714272,3.373564716539588,1,0.00428,0.0,-0.460915,,,,,,,,,,,,,,,v1,
FETUSDT,28.57142857142857,0.067743835371117,0,-0.000278,1.0,1.652093,,,,,,,,,,,,,,,v1,
PYTHUSDT,39.99999999999999,6.562128731829381,0,-8.600000000000274e-05,1.0,1.070312,,,,,,,,,,,,,,,v1,
LUNCUSDT,26.530612244898208,0.0,1,5.9600000000001937e-08,1.0,0.030362,,,,,,,,,,,,,,,v1,
GUSDT,37.49999999999972,1.9737638932630148,0,-2.699999999999968e-05,1.0,0.358798,,,,,,,,,,,,,,,v1,
ONTUSDT,36.52392947103268,0.1373497286740877,1,0.0001635999999999,0.0,-1.677634,,,,,,,,,,,,,,,v1,
SUNUSDT,11.764705882352928,3.1429970703449737,0,-0.0005807999999999,0.0,-0.886374,,,,,,,,,,,,,,,v1,
AUSDT,26.086956521739157,1.2543143771393308,1,8.000000000008e-06,1.0,0.54865,,,,,,,,,,,,,,,v1,
SUNUSDT,16.66666666666673,1.7118815618465453,0,-0.0006615999999999,1.0,4.472234,,,,,,,,,,,,,,,v1,
ANKRUSDT,25.000000000000185,3.563164793678252,0,-4.959999999999947e-05,0.0,-0.255414,,,,,,,,,,,,,,,v1,
DENTUSDT,14.285714285714292,0.1461818515960405,0,-1.8200000000000065e-06,1.0,2.605472,,,,,,,,,,,,,,,v1,
BONKUSDT,37.5,0.0,1,3.3399999999999545e-08,0.0,-0.409229,,,,,,,,,,,,,,,v1,
CETUSUSDT,4.166666666666956,4.103666439093071,0,-0.00042,0.0,-0.928626,,,,,,,,,,,,,,,v1,
SAHARAUSDT,29.12621359223293,1.463190095960908,0,-0.0004766,1.0,0.750245,,,,,,,,,,,,,,,v1,
IOTAUSDT,27.272727272727337,1.1268241464490965,0,-0.000242,0.0,-0.215609,,,,,,,,,,,,,,,v1,
WIFUSDT,25.0,2.446746461513985,0,-0.0011199999999999,0.0,0.0,,,,,,,,,,,,,,,v1,
EURUSDT,23.07692307692571,0.0221843344231785,0,-0.001012,0.0,-0.030878,,,,,,,,,,,,,,,v1,
XRPUSDT,36.06557377049099,0.4221593895743005,0,-0.0008559999999999,0.0,-0.239296,,,,,,,,,,,,,,,v1,
GALAUSDT,37.50000000000021,2.16132391095113,1,1.999999999996796e-07,0.0,-1.879003,,,,,,,,,,,,,,,v1,
APTUSDT,22.857142857142776,0.7476535519533227,0,-0.02922,0.0,-0.320155,,,,,,,,,,,,,,,v1,
SANDUSDT,27.272727272727607,1.4851339108389825,0,-0.0004279999999999,0.0,0.0,,,,,,,,,,,,,,,v1,
LUNCUSDT,33.92857142857152,3.348967934896672,0,-1.4420000000000448e-07,1.0,0.225692,,,,,,,,,,,,,,,v1,
IOTAUSDT,33.333333333332945,0.5280395804917999,0,-0.0003799999999999,1.0,1.233263,,,,,,,,,,,,,,,v1,
VETUSDT,26.984126984126945,0.2524601984001121,0,-3.077999999999935e-05,1.0,0.209264,,,,,,,,,,,,,,,v1,
