symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us
TRXUSDT,35.29411764705958,0.0474386013801219,0,-0.00020599999999998397,1,0.1268,1775081177,22,2,0.7,sideways,trend,conservative,0.0003142857142857193,low,off,0,
PHAUSDT,32.14285714285711,1.5697215174655086,1,0.00021000000000000185,0,-1.6754,1775082548,22,2,0.75,bull,breakout,normal,0.0003928571428571427,medium,off,0,
COSUSDT,24.832214765100716,3.882023857339107,0,-1.4760000000000164e-05,1,9.7944,1775082890,22,2,0.8,sideways,mean_reversion,conservative,1.9714285714285714e-05,medium,off,0,
HBARUSDT,21.00456621004578,1.9254135483377108,0,-0.0009290000000000131,1,0.434,1775084495,23,2,0.8,bear,mean_reversion,normal,0.00020785714285714057,low,off,0,
ONTUSDT,27.21106890938688,1.0990308543836311,0,-0.013963799999999985,0,-5.2296,1775086587,23,2,0.8,sideways,mean_reversion,conservative,0.0037814285714285697,high,off,0,
ONGUSDT,28.391959798994975,1.1816957174964997,0,-0.00242160000000001,0,-0.5032,1775086588,23,2,0.8,sideways,mean_reversion,conservative,0.0009814285714285695,medium,off,0,
COSUSDT,28.934010152284216,1.678205294051045,1,5.020000000000111e-06,0,-1.5912,1775088232,0,3,0.8,bull,mean_reversion,aggressive,2.8785714285714265e-05,medium,asia,0,
GUSDT,29.629629629629562,2.7345542631916615,0,-0.00010479999999999995,0,-0.7596,1775090339,0,3,0.8,bear,mean_reversion,normal,2.7857142857142868e-05,low,asia,0,
VTHOUSDT,17.204301075268788,1.5748751748840195,1,6.5200000000000934e-06,0,-1.8271,1775092772,1,3,0.8,bull,mean_reversion,aggressive,1.3357142857142873e-05,medium,asia,0,
ADAUSDT,29.838709677419274,3.416193077328449,0,-0.005305999999999977,0,-1.6373,1775093614,1,3,0.8,bear,mean_reversion,normal,0.0017214285714285682,low,asia,0,
BONKUSDT,20.00000000000007,3.1593490293733,0,-1.350000000000004e-07,0,-0.6905,1775094138,1,3,0.8,bear,mean_reversion,normal,3.64285714285715e-08,low,asia,0,
SHIBUSDT,26.666666666666785,1.654516754142294,0,-1.038000000000006e-07,0,-1.3629,1775097226,2,3,0.8,bear,mean_reversion,normal,3.1428571428571674e-08,low,asia,0,
FLOWUSDT,35.33834586466166,2.632317054938341,0,-7.73999999999983e-05,0,-1.1294,1775097227,2,3,0.7,sideways,trend,conservative,0.00018071428571428554,low,asia,0,
JSTUSDT,31.9899244332493,0.4559093598255993,0,-0.0002607999999999916,1,0.3012,1775097953,2,3,0.7,sideways,trend,conservative,0.00038357142857142854,low,asia,0,
FIDAUSDT,29.999999999999986,2.646755460888166,0,-0.0005707999999999998,1,9.1435,1775100591,3,3,0.8,sideways,mean_reversion,conservative,0.0002557142857142857,medium,asia,0,
ZAMAUSDT,37.288135593220346,0.2699586541807318,1,5.680000000000268e-05,0,-0.9594,1775106603,5,3,0.7,bull,trend,normal,7.571428571428609e-05,low,asia,0,
ANKRUSDT,31.81818181818187,0.0,0,-3.460000000000008e-05,0,-1.9608,1775108714,5,3,0.7,sideways,trend,conservative,3.071428571428564e-05,low,asia,0,
ANKRUSDT,34.48275862068961,0.24295779756807045,0,-6.440000000000005e-05,1,0.3945,1775109684,6,3,0.7,sideways,trend,conservative,2.8571428571428523e-05,low,asia,0,
PHAUSDT,38.46153846153846,1.6144117267340312,0,-0.0004279999999999978,0,-2.0888,1775109878,6,3,0.7,sideways,trend,conservative,0.00029285714285714234,low,asia,0,
SKLUSDT,29.032258064516114,8.785606589742185,0,-6.339999999999991e-05,1,1.1594,1775114244,7,3,0.8,bear,mean_reversion,normal,3.5714285714285744e-05,low,asia,0,
FOGOUSDT,24.324324324324834,1.4020328893778249,1,6.919999999999843e-05,0,-1.2361,1775116012,7,3,0.8,sideways,mean_reversion,conservative,6.0714285714285965e-05,low,asia,0,
ENAUSDT,14.814814814814753,4.0488633801825245,0,-0.0018119999999999942,0,-1.7455,1775116793,7,3,0.8,bear,mean_reversion,normal,0.000471428571428575,low,asia,0,
