symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,dataset_version,pnl_gross,fee_entry,fee_exit,fee_total,pnl_net,mfe_pct,mae_pct,risk_per_trade_used
CHRUSDT,33.3333333333333,0.9935729672178777,0,-0.0006540000000000018,0,-3.0726450151999813,1775191904,4,4,0.7,sideways,trend,conservative,0.0005857142857142861,high,asia,0,,,,,,,,0.0,-2.1505376344085896,
CHRUSDT,37.50000000000003,0.027146983132047945,0,-0.0006159999999999985,1,9.166747978999975,1775192792,5,4,0.7,sideways,trend,conservative,0.000542857142857143,high,asia,0,,,,,,,,5.347593582887686,0.0,
YBUSDT,36.78929765886292,1.1370819264072707,1,0.01116600000000001,0,-3.9181299936000107,1775195982,5,4,0.7,bull,trend,normal,0.005342857142857145,high,asia,0,,,,,,,,0.0,-2.285714285714292,
VANRYUSDT,38.31417624521075,2.670899297816199,0,-5.8899999999998884e-05,0,-0.5363720195900165,1775197750,6,4,0.7,sideways,trend,conservative,3.5357142857142843e-05,low,asia,0,,,,,,,,0.0,-0.31290263206332636,
WLFIUSDT,26.666666666666814,2.375733167159331,0,-0.001223999999999989,0,-0.6925987360000007,1775197928,6,4,0.8,sideways,mean_reversion,conservative,0.0003928571428571442,low,asia,0,,,,,,,,0.0,-0.5050505050505054,
ONTUSDT,38.03967327887982,1.7996695853393667,0,-0.0022746000000000016,1,1.507525281600004,1775200261,7,4,0.7,sideways,trend,conservative,0.001985714285714286,medium,asia,0,,,,,,,,0.8794430194210356,0.0,
REZUSDT,25.0,1.9692669938237608,0,-0.00010520000000000017,0,-2.4156904162999853,1775200791,7,4,0.8,bear,mean_reversion,normal,3.142857142857148e-05,low,asia,0,,,,,,,,0.0,-1.4577259475218571,
TUTUSDT,35.71428571428601,3.145865374125076,0,-1.1399999999999952e-05,0,-1.2761046100800217,1775201322,7,4,0.7,sideways,trend,conservative,5.357142857142887e-05,low,asia,0,,,,,,,,0.0,-0.9625668449198025,
VETUSDT,21.568627450980586,0.5983047416151756,0,-8.039999999999957e-06,1,0.54857172407499,1775202384,7,4,0.8,sideways,mean_reversion,conservative,1.635714285714286e-05,low,asia,0,,,,,,,,0.3310305123776566,0.0,
ADAUSDT,31.999999999999773,0.41806548112000397,1,0.00024199999999999222,1,0.2177792032000062,1775202736,7,4,0.7,bull,trend,normal,0.0005142857142857131,low,asia,0,,,,,,,,0.1642710472279308,0.0,
