symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,dataset_version,pnl_gross,fee_entry,fee_exit,fee_total,pnl_net,mfe_pct,mae_pct,risk_per_trade_used,is_holiday_ar,holiday_name_ar,is_holiday_eu,holiday_name_eu,is_holiday_asia,holiday_name_asia,is_good_friday,liquidity_mode,ai_trade_decision,ai_context_risk,trade_filter_reason
BANANAS31USDT,14.098837209302303,1.9423477698090357,0,-0.0006991600000000008,1,0.34519566241599137,1775397732,14,6,0.8,bear,mean_reversion,normal,0.00013185714285714276,medium,us,0,,live_ai_risk_v1,0.34519566241599137,0.16640000000000021,0.1667451956624162,0.3331451956624164,0.012050466753574962,2.800565770862804,-0.21687883074022113,0.01,0,,0,,1,清明节,0,medium,1,normal,ok
MMTUSDT,37.82178217821782,1.1518159349897825,1,0.022398,0,-3.8585507250000175,1775398063,14,6,0.7,bull,trend,normal,0.008007142857142857,high,us,0,,live_ai_risk_v1,-3.8585507250000175,0.13312000000000015,0.12926144927500013,0.2623814492750003,-4.120932174275017,0.0,-2.898550724637694,0.01,0,,0,,1,清明节,0,medium,1,normal,ok
MMTUSDT,38.923395445134595,1.4370050899313975,1,0.009770000000000001,0,-3.035600267200013,1775399321,14,6,0.7,bull,trend,normal,0.00652857142857143,high,us,0,,live_ai_risk_v1,-3.035600267200013,0.13312000000000015,0.13008439973280014,0.2632043997328003,-3.298804666932813,1.4755197853789266,-2.280348759222008,0.01,0,,0,,1,清明节,0,medium,1,normal,ok
MMTUSDT,30.434782608695684,0.0672655075696792,1,0.0034380000000000244,1,7.272807742499991,1775400013,14,6,0.7,bull,trend,normal,0.005550000000000004,high,us,0,,live_ai_risk_v1,7.272807742499991,0.13312000000000015,0.14039280774250015,0.2735128077425003,6.99929493475749,5.463347164591971,0.0,0.01,0,,0,,1,清明节,0,medium,1,normal,ok
USTCUSDT,13.333333333333272,0.38908863886693335,1,2.9600000000000286e-05,1,0.3706013362999849,1775403645,15,6,0.8,bull,mean_reversion,normal,9.71428571428572e-05,medium,us,0,,live_ai_risk_v1,0.3706013362999849,0.16640000000000021,0.1667706013363002,0.3331706013363004,0.03743073496368449,1.5590200445434241,-0.2227171492205002,0.01,0,,0,,1,清明节,0,medium,1,aggressive,ok
FETUSDT,28.571428571428697,0.325124155271362,0,-0.0007199999999999707,0,-0.5830924223999965,1775410300,17,6,0.8,sideways,mean_reversion,normal,0.000757142857142857,low,us,0,,live_ai_risk_v1,-0.5830924223999965,0.16640000000000021,0.1658169075776002,0.3322169075776004,-0.915309329977597,0.30661410424879815,-0.35041611914147835,0.01,0,,0,,1,清明节,0,medium,1,normal,ok
FIDAUSDT,15.384615384615785,1.8076935137796246,0,-0.00030900000000000025,1,1.0810208816400095,1775410460,17,6,0.8,bear,mean_reversion,normal,8.357142857142839e-05,low,us,0,,live_ai_risk_v1,1.0810208816400095,0.13312000000000015,0.13420102088164015,0.26732102088164034,0.8136998607583692,1.5661252900232188,-0.29002320185613667,0.01,0,,0,,1,清明节,0,medium,1,normal,ok
VETUSDT,18.709677419354648,0.0,0,-6.877999999999919e-05,0,-0.28860704608000076,1775411106,17,6,0.8,bear,mean_reversion,normal,1.8285714285714545e-05,low,us,0,,live_ai_risk_v1,-0.28860704608000076,0.10649600000000012,0.10620739295392012,0.21270339295392024,-0.501310439033921,0.1490514905149014,-0.2845528455284578,0.01,0,,0,,1,清明节,0,medium,1,normal,ok
TRUUSDT,36.363636363636374,0.0621938278657331,1,0.0006179999999999996,1,7.487999999999998,1775415632,19,6,0.7,bull,trend,normal,0.0004285714285714286,high,us,0,,live_ai_risk_v1,7.487999999999998,0.13977600000000015,0.14726400000000014,0.2870400000000003,7.200959999999998,5.357142857142856,0.0,0.01,0,,0,,1,清明节,0,medium,1,normal,ok
TRUUSDT,30.43478260869567,0.2555953285975663,1,0.00034,1,7.765333333199998,1775416540,19,6,0.7,bull,trend,normal,0.0003785714285714286,high,us,0,,live_ai_risk_v1,7.765333333199998,0.13977600000000015,0.14754133333320016,0.2873173333332003,7.478015999866798,5.555555555555554,0.0,0.01,0,,0,,1,清明节,0,medium,1,normal,ok
